city,lat,lng,country,iso2,admin,capital,population,population_proper
Tehran,35.705,51.4216,Iran,IR,Tehrān,primary,7873000,7153309
Mashhad,36.315591,59.567964,Iran,IR,Khorāsān-e Raẕavī,admin,2469000,2167253
Eşfahān,32.657218,51.677608,Iran,IR,Eşfahān,admin,1628000,1517766
Karaj,35.832664,50.991545,Iran,IR,Alborz,admin,1423000,1423000
Tabrīz,38.08,46.2919,Iran,IR,Āz̄arbāyjān-e Sharqī,admin,1413000,1196426
Shīrāz,29.610308,52.531135,Iran,IR,Fārs,admin,1240000,1240000
Ahvāz,31.312381,48.677175,Iran,IR,Khūzestān,admin,996000,841145
Qom,34.6401,50.8764,Iran,IR,Qom,admin,973000,893956
Kermānshāh,34.314167,47.065,Iran,IR,Kermānshāh,admin,828313,828313
Zāhedān,29.4963,60.8629,Iran,IR,Sīstān va Balūchestān,admin,598887,551980
Rasht,37.276108,49.58862,Iran,IR,Gīlān,admin,594590,494885
Kermān,30.283209,57.07879,Iran,IR,Kermān,admin,577514,535522
Orūmīyeh,37.5553,45.0724,Iran,IR,Āz̄arbāyjān-e Gharbī,admin,577307,577307
Hamadān,34.799216,48.514556,Iran,IR,Hamadān,admin,528256,330
Arāk,34.091741,49.689164,Iran,IR,Markazī,admin,503647,423251
Yazd,31.897222,54.3675,Iran,IR,Yazd,admin,477905,425942
Qazvīn,36.2797,50.0049,Iran,IR,Qazvīn,admin,464551,333635
Bandar ‘Abbās,27.1865,56.2808,Iran,IR,Hormozgān,admin,461499,367508
Khomeynī Shahr,32.685604,51.536093,Iran,IR,Eşfahān,minor,437138,437138
Ārdsālem,38.2669,48.283,Iran,IR,Ardabīl,,414603,410753
Khorramābād,33.487778,48.355833,Iran,IR,Lorestān,admin,375198,329825
Ābādān,30.3392,48.3043,Iran,IR,Khūzestān,minor,370180,260078
Zanjān,36.676421,48.496282,Iran,IR,Zanjān,admin,357471,352554
Sanandaj,35.314948,46.998831,Iran,IR,Kordestān,admin,349176,314420
Bīrjand,32.866277,59.221139,Iran,IR,Khorāsān-e Jonūbī,admin,324703,196982
Dezfūl,32.381577,48.40585,Iran,IR,Khūzestān,minor,315482,315482
Gorgān,36.8427,54.443907,Iran,IR,Golestān,admin,281023,244937
Sārī,36.563319,53.060087,Iran,IR,Māzandarān,admin,271467,255396
Borūjerd,33.8973,48.7516,Iran,IR,Lorestān,minor,251958,251958
Kāshān,33.997284,51.441575,Iran,IR,Eşfahān,minor,250000,248789
Zābol,31.0306,61.4949,Iran,IR,Sīstān va Balūchestān,minor,233968,121989
Sabzevār,36.21412,57.677047,Iran,IR,Khorāsān-e Raẕavī,minor,226183,205638
Nīshābūr,36.213288,58.795755,Iran,IR,Khorāsān-e Raẕavī,minor,221700,220929
Āmol,36.469612,52.350724,Iran,IR,Māzandarān,minor,221650,199382
Bojnūrd,37.47473,57.329031,Iran,IR,Khorāsān-e Shomālī,admin,208582,192041
Khvoy,38.5503,44.9521,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,202728,175370
